BEST ACCURACY SCORE:
0.862222222222
BEST PARAMETERS:
{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
ACCURACY SCORE ON HOLDOUT TEST SET:
0.88


mean: 0.75778, std: 0.02062, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.75111, std: 0.01403, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.79333, std: 0.01541, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.75556, std: 0.01649, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.75556, std: 0.02880, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.75778, std: 0.02062, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.80000, std: 0.03363, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.81556, std: 0.00721, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.80889, std: 0.03017, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.81556, std: 0.01426, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.77333, std: 0.01756, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.82222, std: 0.02265, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.80444, std: 0.02248, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.81556, std: 0.03514, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.77333, std: 0.01898, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.76889, std: 0.01792, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.77556, std: 0.01795, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.82000, std: 0.01124, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.78444, std: 0.01469, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.82000, std: 0.01620, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.79111, std: 0.00788, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.80222, std: 0.02093, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.79333, std: 0.01237, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.80667, std: 0.02274, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.77778, std: 0.02225, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.77333, std: 0.01689, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.80000, std: 0.01294, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.81556, std: 0.00721, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.81556, std: 0.01729, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.81111, std: 0.01271, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.80889, std: 0.00659, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.79778, std: 0.00994, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.80667, std: 0.02399, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.78667, std: 0.01823, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.76222, std: 0.02104, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.78000, std: 0.01915, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.82222, std: 0.01615, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.79556, std: 0.01152, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.82889, std: 0.01617, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.79556, std: 0.01199, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.82444, std: 0.01311, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.78889, std: 0.01803, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.82667, std: 0.01892, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.78444, std: 0.00985, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.78444, std: 0.01730, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.69778, std: 0.03946, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.80000, std: 0.00475, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.78667, std: 0.00756, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.80000, std: 0.01003, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.78000, std: 0.01415, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.79778, std: 0.00788, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.77778, std: 0.00593, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.79556, std: 0.00711, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.78000, std: 0.01752, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.63556, std: 0.00451, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.63556, std: 0.00451, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.70222, std: 0.02409, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.64667, std: 0.00644, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.70222, std: 0.02409, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.64667, std: 0.00644, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.70222, std: 0.02409, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.64222, std: 0.00457, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.70222, std: 0.02409, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.64667, std: 0.00644, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.74667, std: 0.02846, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.77778, std: 0.02953, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.80000, std: 0.03994, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.77333, std: 0.02833, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.79778, std: 0.01273, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.78222, std: 0.02824, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.78889, std: 0.01452, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.77333, std: 0.01898, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.78444, std: 0.02856, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.75111, std: 0.04949, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.76667, std: 0.01269, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.77556, std: 0.02006, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.79778, std: 0.00381, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.78667, std: 0.02574, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.78444, std: 0.01531, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.78000, std: 0.02608, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.78889, std: 0.00163, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.79556, std: 0.02472, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.79556, std: 0.01049, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.80000, std: 0.02561, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.75556, std: 0.01757, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.76889, std: 0.01588, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.78222, std: 0.01101, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.77556, std: 0.03240, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.79556, std: 0.00664, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.78444, std: 0.02786, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.79778, std: 0.00519, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.77333, std: 0.03452, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.79778, std: 0.01837, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.76222, std: 0.04199, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.77333, std: 0.02358, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.72667, std: 0.06200, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.82889, std: 0.00473, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.78667, std: 0.00473, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.83111, std: 0.01263, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.78889, std: 0.01202, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.83111, std: 0.01263, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.79111, std: 0.00989, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.83556, std: 0.00184, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.79333, std: 0.01492, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.77111, std: 0.01371, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.75778, std: 0.01359, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.81778, std: 0.02645, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.80222, std: 0.00714, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.81778, std: 0.02645, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.79556, std: 0.01258, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.82444, std: 0.02102, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.79778, std: 0.01273, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.81778, std: 0.02645, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.78000, std: 0.00751, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
mean: 0.73778, std: 0.02314, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.63556, std: 0.00451, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.78889, std: 0.01102, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (325,), 'solver': 'lbfgs'}
mean: 0.76222, std: 0.01657, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (325,), 'solver': 'adam'}
mean: 0.78889, std: 0.01102, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (650,), 'solver': 'lbfgs'}
mean: 0.75111, std: 0.01099, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (650,), 'solver': 'adam'}
mean: 0.79111, std: 0.00788, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (975,), 'solver': 'lbfgs'}
mean: 0.77333, std: 0.02781, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (975,), 'solver': 'adam'}
mean: 0.78889, std: 0.01102, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (1300,), 'solver': 'lbfgs'}
mean: 0.75556, std: 0.01338, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (1300,), 'solver': 'adam'}
