BEST ACCURACY SCORE:
0.862222222222
BEST PARAMETERS:
{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
ACCURACY SCORE ON HOLDOUT TEST SET:
0.96


mean: 0.63556, std: 0.01519, params: {'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.63556, std: 0.02827, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.85778, std: 0.01581, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.85556, std: 0.01291, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.85111, std: 0.01612, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.84667, std: 0.00485, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.85556, std: 0.00196, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.85778, std: 0.00762, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.85333, std: 0.02023, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.85333, std: 0.01585, params: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.64444, std: 0.00773, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.60000, std: 0.06643, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.84889, std: 0.01177, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.83556, std: 0.03038, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.85556, std: 0.01175, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.83111, std: 0.02410, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.84889, std: 0.00739, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.84222, std: 0.02068, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.85333, std: 0.00634, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.82667, std: 0.03622, params: {'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.65333, std: 0.03434, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.57111, std: 0.09628, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.79556, std: 0.01609, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.76667, std: 0.02155, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.79333, std: 0.01000, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.76222, std: 0.02028, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.79778, std: 0.01273, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.76444, std: 0.01879, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.79556, std: 0.00711, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.75556, std: 0.01988, params: {'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.61778, std: 0.01238, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.61111, std: 0.01688, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.65556, std: 0.01765, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.60222, std: 0.01725, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.65333, std: 0.02019, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.60000, std: 0.01537, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.65556, std: 0.02182, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.60444, std: 0.01964, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.65333, std: 0.02491, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.60444, std: 0.01348, params: {'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.62889, std: 0.02598, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.64667, std: 0.02039, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.82222, std: 0.00372, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.82889, std: 0.00951, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.82889, std: 0.00957, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.81333, std: 0.01257, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.80889, std: 0.00171, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.80889, std: 0.00171, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.82667, std: 0.02430, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.78000, std: 0.00472, params: {'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.64222, std: 0.02889, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.61778, std: 0.02705, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.83111, std: 0.01197, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.81333, std: 0.01773, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.83556, std: 0.01004, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.80444, std: 0.02577, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.82444, std: 0.01594, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.79556, std: 0.02779, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.83333, std: 0.01780, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.77778, std: 0.02798, params: {'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.64667, std: 0.02013, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.66000, std: 0.03750, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.82667, std: 0.01539, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.77333, std: 0.01717, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.83111, std: 0.01607, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.76444, std: 0.03789, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.82222, std: 0.02671, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.75111, std: 0.01998, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.83111, std: 0.00658, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.74222, std: 0.02531, params: {'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.63333, std: 0.03168, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.60667, std: 0.02365, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.79556, std: 0.02779, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.71556, std: 0.02269, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.79778, std: 0.02526, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.70222, std: 0.00519, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.79778, std: 0.02526, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.68889, std: 0.01861, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.79778, std: 0.02233, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.69111, std: 0.02091, params: {'activation': 'logistic', 'alpha': 1, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.64222, std: 0.02889, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.65111, std: 0.03267, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.68667, std: 0.03980, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.61778, std: 0.00341, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.68444, std: 0.04286, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.60667, std: 0.00948, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.68222, std: 0.04093, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.61111, std: 0.00763, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.68222, std: 0.04093, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.61778, std: 0.00428, params: {'activation': 'logistic', 'alpha': 10, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.43778, std: 0.00320, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.43556, std: 0.00258, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.59556, std: 0.01652, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.60222, std: 0.01207, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.59778, std: 0.01820, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.63556, std: 0.00979, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.59333, std: 0.02438, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.62444, std: 0.02186, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.59333, std: 0.02438, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.59556, std: 0.00866, params: {'activation': 'logistic', 'alpha': 100, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.64667, std: 0.02125, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.58222, std: 0.10851, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.80889, std: 0.00457, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.80667, std: 0.00774, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.80667, std: 0.01752, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.78889, std: 0.00163, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.80444, std: 0.01070, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.79333, std: 0.00319, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.80667, std: 0.00475, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.79778, std: 0.01051, params: {'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.63778, std: 0.02212, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.64222, std: 0.02709, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.81556, std: 0.00788, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.79556, std: 0.00617, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.84222, std: 0.01913, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.78667, std: 0.00473, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.81556, std: 0.03466, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.78889, std: 0.01547, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.83556, std: 0.02950, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.78889, std: 0.02056, params: {'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.64222, std: 0.03234, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.60889, std: 0.03434, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.81778, std: 0.03712, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.78667, std: 0.03191, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.83556, std: 0.02079, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.78444, std: 0.03408, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.83333, std: 0.04243, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.79778, std: 0.03291, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.84444, std: 0.02131, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.78222, std: 0.03434, params: {'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.65333, std: 0.02541, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.65111, std: 0.03752, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.82889, std: 0.02098, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.75778, std: 0.01359, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.82444, std: 0.01178, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.73778, std: 0.00552, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.81556, std: 0.02084, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.75333, std: 0.03680, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.82000, std: 0.01309, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.74667, std: 0.01665, params: {'activation': 'tanh', 'alpha': 1, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.64000, std: 0.03175, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.64000, std: 0.02638, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.76889, std: 0.02206, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.69111, std: 0.01194, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.76667, std: 0.02788, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.69778, std: 0.01943, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.76444, std: 0.03031, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.68667, std: 0.02612, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.76667, std: 0.02788, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.68444, std: 0.01332, params: {'activation': 'tanh', 'alpha': 10, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
mean: 0.63778, std: 0.02316, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}
mean: 0.56444, std: 0.05247, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (1,), 'solver': 'adam'}
mean: 0.62667, std: 0.00620, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (188,), 'solver': 'lbfgs'}
mean: 0.59778, std: 0.01241, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (188,), 'solver': 'adam'}
mean: 0.62667, std: 0.00620, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (375,), 'solver': 'lbfgs'}
mean: 0.59556, std: 0.01229, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (375,), 'solver': 'adam'}
mean: 0.62667, std: 0.00620, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (562,), 'solver': 'lbfgs'}
mean: 0.59556, std: 0.01761, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (562,), 'solver': 'adam'}
mean: 0.62667, std: 0.00620, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (750,), 'solver': 'lbfgs'}
mean: 0.59333, std: 0.01191, params: {'activation': 'tanh', 'alpha': 100, 'hidden_layer_sizes': (750,), 'solver': 'adam'}
